NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
kukorica;Nitrogen;2;jó;2,2
kukorica;Nitrogen;2;igen jó;1,4
kukorica;Nitrogen;3;igen gyenge;3,5
kukorica;Nitrogen;3;gyenge;3,3
kukorica;Nitrogen;3;közepes;3
kukorica;Nitrogen;3;jó;2,5
kukorica;Nitrogen;3;igen jó;1,4
kukorica;Nitrogen;4;igen gyenge;3,7
kukorica;Nitrogen;4;gyenge;3,5
kukorica;Nitrogen;4;közepes;3,2
kukorica;Nitrogen;4;jó;2,5
kukorica;Nitrogen;4;igen jó;1,9
kukorica;Nitrogen;5;igen gyenge;3,6
kukorica;Nitrogen;5;gyenge;3,3
kukorica;Nitrogen;5;közepes;3
kukorica;Nitrogen;5;jó;2,4
kukorica;Nitrogen;5;igen jó;1,5
kukorica;Nitrogen;6;igen gyenge;3,4
kukorica;Nitrogen;6;gyenge;3,1
kukorica;Nitrogen;6;közepes;2,8
kukorica;Nitrogen;6;jó;2,4
kukorica;Nitrogen;6;igen jó;1,7
kukorica;Foszfor;1;igen gyenge;2,4
kukorica;Foszfor;1;gyenge;2
kukorica;Foszfor;1;közepes;1,6
kukorica;Foszfor;1;jó;1,1
kukorica;Foszfor;1;igen jó;0,5
kukorica;Foszfor;2;igen gyenge;2,5
kukorica;Foszfor;2;gyenge;2,2
kukorica;Foszfor;2;közepes;1,8
kukorica;Foszfor;2;jó;1,2
kukorica;Foszfor;2;igen jó;0,7
kukorica;Foszfor;3;igen gyenge;2,8
kukorica;Foszfor;3;gyenge;2,4
kukorica;Foszfor;3;közepes;2
kukorica;Foszfor;3;jó;1,4
kukorica;Foszfor;3;igen jó;0,6
kukorica;Foszfor;4;igen gyenge;2,6
kukorica;Foszfor;4;gyenge;2,3
kukorica;Foszfor;4;közepes;1,9
kukorica;Foszfor;4;jó;1,3
kukorica;Foszfor;4;igen jó;0,5
kukorica;Foszfor;5;igen gyenge;2,8
kukorica;Foszfor;5;gyenge;2,5
kukorica;Foszfor;5;közepes;2,1
kukorica;Foszfor;5;jó;1,5
kukorica;Foszfor;5;igen jó;0,8
kukorica;Foszfor;6;igen gyenge;2,5
kukorica;Foszfor;6;gyenge;2,2
kukorica;Foszfor;6;közepes;1,8
kukorica;Foszfor;6;jó;1,3
kukorica;Foszfor;6;igen jó;0,7
kukorica;Kalium;1;igen gyenge;3,1
kukorica;Kalium;1;gyenge;2,8
kukorica;Kalium;1;közepes;2,4
kukorica;Kalium;1;jó;1,8
kukorica;Kalium;1;igen jó;1
kukorica;Kalium;2;igen gyenge;3,2
kukorica;Kalium;2;gyenge;3
kukorica;Kalium;2;közepes;2,6
kukorica;Kalium;2;jó;2
kukorica;Kalium;2;igen jó;1,1
kukorica;Kalium;3;igen gyenge;3,2
kukorica;Kalium;3;gyenge;2,8
kukorica;Kalium;3;közepes;2,3
kukorica;Kalium;3;jó;1,8
kukorica;Kalium;3;igen jó;0,9
kukorica;Kalium;4;igen gyenge;3,6
kukorica;Kalium;4;gyenge;3,4
kukorica;Kalium;4;közepes;3
kukorica;Kalium;4;jó;2,4
kukorica;Kalium;4;igen jó;1,3
kukorica;Kalium;5;igen gyenge;3,3
kukorica;Kalium;5;gyenge;3
kukorica;Kalium;5;közepes;2,5
kukorica;Kalium;5;jó;2,1
kukorica;Kalium;5;igen jó;1,7
kukorica;Kalium;6;igen gyenge;3,1
kukorica;Kalium;6;gyenge;2,9
kukorica;Kalium;6;közepes;2,5
kukorica;Kalium;6;jó;2,2
kukorica;Kalium;6;igen jó;1,1
napraforgó;Nitrogen;1;igen gyenge;3
napraforgó;Nitrogen;1;gyenge;2,8
napraforgó;Nitrogen;1;közepes;2,5
napraforgó;Nitrogen;1;jó;2
napraforgó;Nitrogen;1;igen jó;1
napraforgó;Nitrogen;2;igen gyenge;3
napraforgó;Nitrogen;2;gyenge;2,8
napraforgó;Nitrogen;2;közepes;2,5
napraforgó;Nitrogen;2;jó;2,2
napraforgó;Nitrogen;2;igen jó;1,3
napraforgó;Nitrogen;3;igen gyenge;3,4
napraforgó;Nitrogen;3;gyenge;3,1
napraforgó;Nitrogen;3;közepes;2,5
napraforgó;Nitrogen;3;jó;1,7
napraforgó;Nitrogen;3;igen jó;0,8
napraforgó;Nitrogen;4;igen gyenge;4
napraforgó;Nitrogen;4;gyenge;3,8
napraforgó;Nitrogen;4;közepes;3,6
napraforgó;Nitrogen;4;jó;3,1
napraforgó;Nitrogen;4;igen jó;2,4
napraforgó;Nitrogen;5;igen gyenge;3,7
napraforgó;Nitrogen;5;gyenge;3,4
napraforgó;Nitrogen;5;közepes;3
napraforgó;Nitrogen;5;jó;2,7
napraforgó;Nitrogen;5;igen jó;2,5
napraforgó;Nitrogen;6;igen gyenge;4,6
napraforgó;Nitrogen;6;gyenge;4,4
napraforgó;Nitrogen;6;közepes;4
napraforgó;Nitrogen;6;jó;3,5
napraforgó;Nitrogen;6;igen jó;2,5
napraforgó;Foszfor;1;igen gyenge;6
napraforgó;Foszfor;1;gyenge;4,8
napraforgó;Foszfor;1;közepes;3,6
napraforgó;Foszfor;1;jó;3
napraforgó;Foszfor;1;igen jó;2
napraforgó;Foszfor;2;igen gyenge;6,7
napraforgó;Foszfor;2;gyenge;5,6
napraforgó;Foszfor;2;közepes;4,4
napraforgó;Foszfor;2;jó;3,2
napraforgó;Foszfor;2;igen jó;2
napraforgó;Foszfor;3;igen gyenge;7,6
napraforgó;Foszfor;3;gyenge;6,3
napraforgó;Foszfor;3;közepes;5,5
napraforgó;Foszfor;3;jó;3,8
napraforgó;Foszfor;3;igen jó;2,5
napraforgó;Foszfor;4;igen gyenge;8
napraforgó;Foszfor;4;gyenge;7,5
